epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1670.33,0.69269,0.41846,0.92709,0.99196,0.98776,0.99107,0.8153,0.79678,0.35914,0.96166,0.00114302,0.00114302,0.00114302
129,1683.33,0.70021,0.42875,0.92762,0.98846,0.99194,0.99,0.82276,0.76155,0.3748,0.94362,0.00113889,0.00113889,0.00113889
130,1696.37,0.70111,0.42658,0.9134,0.99713,1,0.995,0.83409,0.72765,0.37044,0.93651,0.00113477,0.00113477,0.00113477
131,1709.37,0.67548,0.40487,0.91566,0.99368,1,0.995,0.83617,0.73316,0.35927,0.93872,0.00113064,0.00113064,0.00113064
132,1722.41,0.67976,0.4064,0.91616,0.9876,0.9921,0.9911,0.83667,0.73074,0.3538,0.93141,0.00112652,0.00112652,0.00112652
133,1735.35,0.68523,0.40626,0.91824,0.99156,0.99729,0.99493,0.83935,0.72765,0.36063,0.92981,0.00112239,0.00112239,0.00112239
134,1748.39,0.67789,0.41487,0.91005,0.99688,1,0.995,0.82918,0.73375,0.34026,0.9409,0.00111827,0.00111827,0.00111827
135,1761.4,0.6716,0.39819,0.90915,0.99918,0.99902,0.995,0.83465,0.7718,0.365,0.95405,0.00111414,0.00111414,0.00111414
136,1774.52,0.67758,0.40371,0.9115,0.99298,1,0.995,0.82607,0.72234,0.34267,0.91655,0.00111001,0.00111001,0.00111001
137,1787.47,0.70474,0.41575,0.92223,0.99605,0.9988,0.995,0.83401,0.70874,0.33547,0.91569,0.00110589,0.00110589,0.00110589
138,1800.46,0.66976,0.4055,0.92013,0.99138,0.99923,0.995,0.83844,0.70163,0.34818,0.91997,0.00110176,0.00110176,0.00110176
139,1813.45,0.68777,0.40923,0.91317,0.99719,1,0.995,0.82682,0.70825,0.35413,0.91988,0.00109764,0.00109764,0.00109764
140,1826.33,0.68824,0.41127,0.91236,0.99344,0.98611,0.9948,0.84873,0.70574,0.33768,0.91343,0.00109351,0.00109351,0.00109351
141,1839.34,0.6706,0.40941,0.91521,1,0.99248,0.995,0.84694,0.73606,0.34468,0.93701,0.00108938,0.00108938,0.00108938
142,1852.3,0.67958,0.4192,0.91388,0.99925,0.99438,0.995,0.84033,0.70654,0.36665,0.91446,0.00108526,0.00108526,0.00108526
